source,target,relation,method,confidence,doc_id
COBS 1.4.2,COBS 2.2A,CITES,rule,0.97,COBS_0018
COBS 1.4.2,COBS 2.4,CITES,rule,0.97,COBS_0018
COBS 1.4.2,COBS 4.2,CITES,rule,0.97,COBS_0018
COBS 1.4.2,COBS 4.4.1,CITES,rule,0.97,COBS_0018
COBS 1.4.2,COBS 6.1,CITES,rule,0.97,COBS_0018
COBS 1.4.2,COBS 11.2A,CITES,rule,0.97,COBS_0018
COBS 1.4.2,COBS 11.2B,CITES,rule,0.97,COBS_0018
COBS 1.4.2,COBS 11.3,CITES,rule,0.97,COBS_0018
COBS 1.4.2,COBS 12.2.18R,CITES,rule,0.97,COBS_0018
COBS 1.4.2,COBS 14.3,CITES,rule,0.97,COBS_0018
COBS 1.4.2,COBS 14.3A,CITES,rule,0.97,COBS_0018
COBS 1.4.2,COBS 14.3A.3R,CITES,rule,0.97,COBS_0018
COBS 1.4.2,COBS 16A.3,CITES,rule,0.97,COBS_0018
COBS 1.4.2,COBS 4.4.1R,CITES,rule,0.97,COBS_0018
COBS 1.4.2,COBS 11.4,CITES,rule,0.97,COBS_0018
COBS 1.4.2,COBS 1.1.1CR,CITES,rule,0.97,COBS_0018
COBS 1.4.2,COBS 2.1,CITES,rule,0.97,COBS_0018
COBS 1.4.2,COBS 2.2,CITES,rule,0.97,COBS_0018
COBS 1.4.2,COBS 4.5.2R,CITES,rule,0.97,COBS_0018
COBS 1.4.2,COBS 4.10,CITES,rule,0.97,COBS_0018
COBS 1.4.2,COBS 4.11,CITES,rule,0.97,COBS_0018
COBS 1.4.2,COBS 4.12A,CITES,rule,0.97,COBS_0018
COBS 1.4.2,COBS 4.12B,CITES,rule,0.97,COBS_0018
COBS 1.4.2,COBS 16.6.7AR,CITES,rule,0.97,COBS_0018
COBS 1.4.2,COBS 16.6.8R,CITES,rule,0.97,COBS_0018
COBS 1.4.2,COBS 16.6.13G,CITES,rule,0.97,COBS_0018
COBS 1.4.2,COBS 19.10,CITES,rule,0.97,COBS_0018
